code;description;type
ALS000;CASCO WSB10000102 IDRA BLANCO CON VISOR INTEGRADO;PPE
ALS001;CASCO G3000NW BLANCO CON ARNES DE RULETA;PPE
ALS002;CASCO HC300V COLOR BLANCO;PPE
ALS003;CASCO EKAIN BLANCO IRUDEK;PPE
ALS004;GORRA CHICHONERA HC22/MP FIRST BASE MARINO MICRO 25MM AEROLITE;PPE
ALS005;3M 169007 PROTECTOR DE LA CABEZA GRANDE SPEEGLAS;PPE
ALS006;CASCO 24243D APOLLO 600 COMPLETO PARA USO EN CABINA DE CHORRO;PPE
ALS007;JUEGO 25 LAMINAS 04361I CRISTAL EXTERIOR ADHESIVAS APOLLO 600;PPE
ALS008;JUEGO DE 25 CRISTALES 04373I INTERMEDIOS PARA APOLLO 600;PPE
ALS009;JUEGO 5 CRISTALES 24308D INTERIORES PARA APOLLO 600;PPE
ALS010;GORRA HC22/RP FIRST BASE MARINO CORTA 50MM;PPE
ALS011;OREJERA H540A OREJERA DIADEMA OPTIME III ROJA 35DB;PPE
ALS012;CONEXIÓN P3EV/2 PANTALLA CASCO SIN OREGERAS G500/G3000;PPE
ALS013;OREJERA OPT3P3E PARA CASCO OPTIME III VERSION ANCLAJE CASCO;PPE
ALS014;TAPON 1100 JUEGO S/CORDON DESECHABLE CAJA 200;PPE
ALS015;TAPÓN 1310 REUTILIZABLE CON BANDA;PPE
ALS016;RECAMBIO TAPON PARA BANDA 1311 CAJA DE 100;PPE
ALS017;DISPENSADOR 3M ONETCHDN - NO INCLUYE BOTELLA;PPE
ALS018;PROTECTOR AUDITIVO DESECHABLE EN BOTELLA DE 500;PPE
ALS019;TAPON SPARK PLUG MOLDEX STATION BOLSA DE 200;PPE
ALS020;TAPÓN REUTILIZABLE CON CORDÓN, EN CAJA INDIVIDUAL MOD. 3M-1271;PPE
ALS021;TAPON SPARK PLUG MOLDEX 7825 STATION  BOTELLA DE 250;PPE
ALS022;OREJERA HONEYWELL 1018953 IMPACTO PRO SNR33;PPE
ALS023;TAPÓN, CORDON Y PAÑO KIT DE IMPRESIÓN COMPLETA Y MASAS;PPE
ALS276;TAPONES 3M PISB PUSH-INS EX-01-021 SIN CORDON;PPE
ALS277;DISPENSADOR ONETCHDN TAPONES ONE TOUCH 3M UNIVERSAL;PPE
ALS024;3M G2841 GAFA ULTIMATE GRIS AR Y AE ANTIRRAYADURA;PPE
ALS025;GAFA CONTPSF CONTOUR AHUMADA MONTURA NEGRA;PPE
ALS026;GAFAS TRACPSF TRACKER AHUMADA CON CINTA;PPE
ALS027;CUBREGAFAS OX3000DX MONTURA AZUL PC;PPE
ALS028;GAFA 9301714 UVEX 9301 PANORAMICA ULTRAVISION;PPE
ALS029;CASCO FORESTAL CON REJILLA FUNCION UNIVERSAL;PPE
ALS030;PANTALLA 412-R CABEZA SOLDADURA ELECTRICA;PPE
ALS031;PANTALLA V4KK INCOLORA POLICARBONATO PARA CASCO G2000/3000;PPE
ALS032;SOPORTE V5 PARA PANTALLA PARA CASCO G500/G3000;PPE
ALS033;ARNES G500GU AMARILLO;PPE
ALS034;PANTALLA/ VISOR 5F11 INCOLORA PLICARBONATO;PPE
ALS035;ARNES G500 PANTALLA 5F11 SOPORTE V5 Y OPT3P3E OREJERAS;PPE
ALS036.L;CAPERUZA 23-6680 AZUL IGNIFUGA T-L;PPE
ALS036.XL;CAPERUZA 23-6680 AZUL IGNIFUGA T-XL;PPE
ALS037;GAFA TRACPSI TRACKER PC INCOLORO;PPE
ALS038;GAFAS 900375 VISITOR B-92 POLICARBONATO;PPE
ALS039;GAFA 2890 PANORAMICA CON VENTILACION INCOLORA;PPE
ALS040;PELICULA 899060 PROTECTORA VISOR PACK 5 UNIDADES;PPE
ALS041;PREFILTRO 836010 ADFLO PACK 5 UNIDADES;PPE
ALS042;TUBO 834005 RESPIRACIÓN CAUCHO PARA ADFLO;PPE
ALS043;ADFLO 832000 UNIDAD SOLO MOTOR;PPE
ALS044;BANDA 168010 PACK DE 2 ANTISUDOR DE ALGODON VELCRO;PPE
ALS045;PROTECTOR VENTANA LATERAL 432015 PACK 5 UNIDADES;PPE
ALS046;CUBREFILTRO 428010 INT.P/ ADF 9002X/9000XF;PPE
ALS047;PANTALLA 549025 SOLDAR COMPLETA 9100 FX;PPE
ALS048;PILA 422000 PILA RECAMBIO 9000/9002/SL/UTILITY;PPE
ALS049;PLACA 423000 FLEXVIEW PROTECTORA PACK 10 UNIDADES;PPE
ALS050;PROTECTOR 3M 169001 TECA-WELD;PPE
ALS051;PILA PACK DE 2 422000 RECAMBIO 9000/9002/SL/UTILITY;PPE
ALS052;VISOR 523000 VISOR INCOLORO PC PARA 9100FX PACK 5 UNS;PPE
ALS053;FILTRO 837010 ADFLO CLASE P PACK DE 2 UNIDADES;PPE
ALS054;GAFAS TRACPSF BOLLE TRACKER AHUMADA CON CINTA;PPE
ALS054.2;GAFAS TRACWPCC3 BOLLE TRACKER VERDE CON CINTA;PPE
ALS055;CARGADOR BATERIA 3M FW7300;PPE
ALS056;ARNES H8 CON RULETA PARA PANTALLA DE PROTECCION FACIAL;PPE
ALS057;CUBRE FILTROS INT 528015 PARA PANTALLA 9100 XX PACK DE 5 UDS;PPE
ALS058;CUBREFILTRO 528025 INTERIOR P/F/9100XX PACK 5UNDS;PPE
ALS059;AJUSTE FACIAL 534000 P/ PANTALLA 9100FX AIR;PPE
ALS060;GAFA GG501SGA PANORAMICA PERFIL BAJO - VENTILACION INDIRECTA;PPE
ALS061;GAFA 3M S1201SGA INCOLORA INSERTO ESPUMA;PPE
ALS062;GAFA 9160265 UVEX I-VO AZUL/NARAN SV HC/AF TRASP;PPE
ALS063;GAFA 9160076 UVEX NEGRO/GRIS OCULAR GRIS PC;PPE
ALS064;GAFA MONOFOCALES LENTE MINERAL + ORGANICA;PPE
ALS065;GAFA BIFOCALES LENTE MINERAL + ORGANICA;PPE
ALS066;GAFA PROGRESIVAS LENTE MINERAL + ORGANICA;PPE
ALS067;REPONER MONTURA Y COLOCAR CRISTALES MODELO HORIZONT;PPE
ALS068;GAFA MONOFOCALES LENTE MINERAL + ORGANICA;PPE
ALS069;GAFA BIFOCALES MONOFOCALES LENTE MINERAL + ORGANICA;PPE
ALS070;GAFA PROGRESIVAS MONOFOCALES LENTE MINERAL + ORGANICA;PPE
ALS071;REPONER MONTURA Y COLOCAR CRISTALES MODELO EAGLE;PPE
ALS278;LAVAOJOS 4787 DUAL PORTATIL PLUM;PPE
ALS279;BOTELLA 4691 LAVAOJOS RECAMBIO SUERO CAJA PACK 10 UNDS;PPE
ALS283;3M TUFWP96 PANTALLA POLICARBONATO INCOLORA - 7100016704;PPE
ALS072;MASCARILLAS 3M 9928 CON /VALVULA FFP2 RD PACK DE 10 UNDS;PPE
ALS073;MASCARILLA 3M 9322+ C/VALVULA FFP2 NR D;PPE
ALS074;MASCARILLA 3M 9332+ C/VALVULA FFP3 NR D;PPE
ALS075;MASCARA 3M 6800S FACIAL SIN FILTROS;PPE
ALS076;MASCARA 3M 4251 FFA1P2 R D VAP ORGANICOS;PPE
ALS077;MASCARILLA MOLDEX 2445 MOLDEX PACK DE 10 UND;PPE
ALS078;FILTROS 3M 6095 COMBINADO A2P3R PACK 2;PPE
ALS079;PROTECTOR 3M 6885 PROTECTOR PANTALLA PACK 25 UND;PPE
ALS080;CUBREFILTRO 427000 EXTERIOR PACK 10 UNDS;PPE
ALS081;CUBRE-FILTRO 3M 527001 EXTERIOR S9100 PACK DE 10 UNDS;PPE
ALS084;ADAPTADOR 3M 533505 SPEEDGLAS 9100 FX AIR;PPE
ALS085;RECAMBIO 533500 PARA CARETA DE SOLDAR 9100 FX AIR;PPE
ALS086;RECAMBIO 3M 536200 ATALAJE SPEEDGLAS;PPE
ALS087;CASCO SOLDADOR 9100 MP SIN FILTRO SOLDADURA SP572800;PPE
ALS088;PROTECTOR 3M 400 SERIE 4000 PACK DE 10 UNDS;PPE
ALS089;MASCARILLA PLEGADA DRAGER XPLORE 1710+V FFP1;PPE
ALS090;MASCARILLA PLEGADA DRAGER XPLORE 1720+V FFP2;PPE
ALS091.L;MASCARA 3M 6900S FACIAL T-L SIN FILTROS;PPE
