id;code;datetime;type;quantity;stock_id;store_id
1;E-1;2023-04-02T19:47:57;IN;92844;1;2
2;E-2;2023-04-02T23:54:10;IN;94082;1;1
3;S-1;2023-04-03T04:43:08;OUT;23072;3;4
4;S-2;2023-04-03T01:41:07;OUT;32075;1;5
5;S-3;2023-04-03T01:09:26;OUT;16834;1;4
6;S-4;2023-04-03T02:06:30;OUT;17842;3;5
7;S-5;2023-04-03T11:30:05;OUT;97742;5;1
8;E-3;2023-04-02T19:15:12;IN;32920;5;4
9;E-4;2023-04-03T13:24:43;IN;3076;2;4
10;E-5;2023-04-03T09:11:08;IN;69085;2;3
11;E-6;2023-04-02T19:47:57;IN;92844;1;2
12;E-7;2023-04-02T23:54:10;IN;94082;1;1
13;S-15;2023-04-03T04:43:08;OUT;23072;3;4
14;S-6;2023-04-03T01:41:07;OUT;32075;1;5
15;S-7;2023-04-03T01:09:26;OUT;16834;1;4
16;S-8;2023-04-03T02:06:30;OUT;17842;3;5
17;S-9;2023-04-03T11:30:05;OUT;97742;5;1
18;E-8;2023-04-02T19:15:12;IN;32920;5;4
19;E-9;2023-04-03T13:24:43;IN;3076;2;4
20;E-10;2023-04-03T09:11:08;IN;69085;2;3
21;E-11;2023-04-02T19:47:57;IN;92844;1;2
22;E-12;2023-04-02T23:54:10;IN;94082;1;1
23;S-10;2023-04-03T04:43:08;OUT;23072;3;4
24;S-11;2023-04-03T01:41:07;OUT;32075;1;5
25;S-12;2023-04-03T01:09:26;OUT;16834;1;4
26;S-13;2023-04-03T02:06:30;OUT;17842;3;5
27;S-14;2023-04-03T11:30:05;OUT;97742;5;1
