id;datetime;type;stock_id;rectification_datetime
1;2023-04-03T13:16:27;REORDER_POINT;1;2023-04-02T14:30:11
2;2023-04-03T01:13:30;REORDER_POINT;4;2023-04-03T04:05:51
3;2023-04-02T15:08:44;STOCKOUT;2;2023-04-02T20:19:24
4;2023-04-02T22:43:03;STOCKOUT;3;2023-04-03T09:38:19
5;2023-04-02T15:08:44;STOCKOUT;2;null
6;2023-04-02T22:43:03;STOCKOUT;3;null
7;2023-04-03T01:13:30;REORDER_POINT;4;2023-04-03T04:05:51
8;2023-04-02T15:08:44;STOCKOUT;2;2023-04-02T20:19:24
9;2023-04-02T22:43:03;STOCKOUT;5;2023-04-03T09:38:19
10;2023-04-02T15:08:44;STOCKOUT;2;null
11;2023-04-02T22:43:03;STOCKOUT;4;null
12;2023-04-03T01:13:30;REORDER_POINT;4;2023-04-03T04:05:51
13;2023-04-02T15:08:44;STOCKOUT;2;2023-04-02T20:19:24
14;2023-04-02T22:43:03;STOCKOUT;3;2023-04-03T09:38:19
15;2023-04-02T15:08:44;STOCKOUT;4;null
16;2023-04-02T22:43:03;STOCKOUT;3;null
17;2023-04-03T01:13:30;REORDER_POINT;4;2023-04-03T04:05:51
18;2023-04-02T15:08:44;STOCKOUT;4;2023-04-02T20:19:24
19;2023-04-02T22:43:03;STOCKOUT;17;2023-04-03T09:38:19
20;2023-04-02T15:08:44;STOCKOUT;2;null
21;2023-04-02T22:43:03;STOCKOUT;3;null
22;2023-04-03T01:13:30;REORDER_POINT;4;2023-04-03T04:05:51
23;2023-04-02T15:08:44;STOCKOUT;4;2023-04-02T20:19:24
24;2023-04-02T22:43:03;STOCKOUT;3;2023-04-03T09:38:19
25;2023-04-02T15:08:44;STOCKOUT;2;null
26;2023-04-02T22:43:03;STOCKOUT;17;null
27;2023-04-03T01:13:30;REORDER_POINT;4;2023-04-03T04:05:51
28;2023-04-02T15:08:44;STOCKOUT;2;2023-04-02T20:19:24
29;2023-04-02T22:43:03;STOCKOUT;17;nul
30;2023-04-02T15:08:44;STOCKOUT;2;null
31;2023-04-02T22:43:03;STOCKOUT;3;null
32;2023-04-03T01:13:30;REORDER_POINT;4;2023-04-03T04:05:51
33;2023-04-02T15:08:44;STOCKOUT;2;2023-04-02T20:19:24
34;2023-04-02T22:43:03;STOCKOUT;17;2023-04-03T09:38:19
35;2023-04-02T15:08:44;STOCKOUT;2;null
36;2023-04-02T22:43:03;STOCKOUT;4;null
37;2023-04-03T01:13:30;REORDER_POINT;4;2023-04-03T04:05:51
38;2023-04-02T15:08:44;STOCKOUT;17;2023-04-02T20:19:24
