code;description;type
ALS000;CASCO WSB10000102 IDRA BLANCO CON VISOR INTEGRADO;PPE
ALS001;CASCO G3000NW BLANCO CON ARNES DE RULETA;PPE
ALS002;CASCO HC300V COLOR BLANCO;PPE
ALS003;CASCO EKAIN BLANCO IRUDEK;PPE
ALS004;GORRA CHICHONERA HC22/MP FIRST BASE MARINO MICRO 25MM AEROLITE;PPE
ALS005;3M 169007 PROTECTOR DE LA CABEZA GRANDE SPEEGLAS;PPE
ALS006;CASCO 24243D APOLLO 600 COMPLETO PARA USO EN CABINA DE CHORRO;PPE
ALS007;JUEGO 25 LAMINAS 04361I CRISTAL EXTERIOR ADHESIVAS APOLLO 600;PPE
ALS008;JUEGO DE 25 CRISTALES 04373I INTERMEDIOS PARA APOLLO 600;PPE
ALS009;JUEGO 5 CRISTALES 24308D INTERIORES PARA APOLLO 600;PPE
ALS010;GORRA HC22/RP FIRST BASE MARINO CORTA 50MM;PPE
ALS011;OREJERA H540A OREJERA DIADEMA OPTIME III ROJA 35DB;PPE
ALS012;CONEXIÓN P3EV/2 PANTALLA CASCO SIN OREGERAS G500/G3000;PPE
ALS013;OREJERA OPT3P3E PARA CASCO OPTIME III VERSION ANCLAJE CASCO;PPE
ALS014;TAPON 1100 JUEGO S/CORDON DESECHABLE CAJA 200;PPE
ALS015;TAPÓN 1310 REUTILIZABLE CON BANDA;PPE
ALS016;RECAMBIO TAPON PARA BANDA 1311 CAJA DE 100;PPE
ALS017;DISPENSADOR 3M ONETCHDN - NO INCLUYE BOTELLA;PPE
ALS018;PROTECTOR AUDITIVO DESECHABLE EN BOTELLA DE 500;PPE
ALS019;TAPON SPARK PLUG MOLDEX STATION BOLSA DE 200;PPE
ALS020;TAPÓN REUTILIZABLE CON CORDÓN, EN CAJA INDIVIDUAL MOD. 3M-1271;PPE
ALS021;TAPON SPARK PLUG MOLDEX 7825 STATION  BOTELLA DE 250;PPE
ALS022;OREJERA HONEYWELL 1018953 IMPACTO PRO SNR33;PPE
ALS023;TAPÓN, CORDON Y PAÑO KIT DE IMPRESIÓN COMPLETA Y MASAS;PPE
ALS276;TAPONES 3M PISB PUSH-INS EX-01-021 SIN CORDON;PPE
