id;actual_stock;reorder_point;max_stock;section;level;rack;store_id;article_id
1;40873;43417;67982;A;1;1;1;1
2;31235;72760;18949;B;1;2;1;2
3;0;35847;58869;CD;1;3;1;3
4;82136;29891;84591;E;2;4;1;4
5;86100;36483;52558;F;2;5;1;5
6;38718;23195;81428;G;2;6;1;6
7;21040;22166;29949;H;2;7;1;7
8;66740;26448;37363;I;2;8;1;8
9;55452;63542;167;J;3;9;1;9
10;93456;19885;90401;K;3;10;1;10
11;40873;43417;67982;L;3;11;1;11
12;31235;72760;18949;M;4;12;1;12
13;86720;35847;58869;N;4;13;1;13
14;82136;29891;84591;O;4;14;1;14
15;86100;36483;52558;A;5;15;1;15
16;38718;23195;81428;B;5;16;1;16
17;21040;22166;29949;C;6;17;1;17
18;66740;26448;37363;D;3;1;2;1
19;55452;63542;167;B;4;2;2;2
20;93456;19885;90401;CD;4;3;2;3
21;40873;43417;67982;E;4;4;2;4
22;31235;72760;18949;F;5;5;2;5
23;86720;35847;58869;G;5;6;2;6
24;82136;29891;84591;M;5;7;2;7
25;86100;36483;52558;N;5;1;3;8
26;38718;23195;81428;O;6;2;3;9
27;21040;22166;29949;A;3;3;3;10
28;66740;26448;37363;B;4;4;3;11
29;55452;63542;167;C;4;5;3;12
30;93456;19885;90401;P;4;6;3;13
31;86100;36483;52558;Q;5;1;4;1
32;38718;23195;81428;R;5;2;4;2
33;21040;22166;29949;S;5;3;4;3
34;66740;26448;37363;T;6;4;4;4
35;55452;63542;167;V;3;5;4;5
36;93456;19885;90401;W;4;6;4;6
37;40873;43417;67982;A;1;1;1;1
38;31235;72760;18949;B;1;2;1;2
39;0;35847;58869;CD;1;3;1;3
40;82136;29891;84591;E;2;4;1;4
41;86100;36483;52558;F;2;5;1;5
42;38718;23195;81428;G;2;6;1;6
43;21040;22166;29949;H;2;7;1;7
44;66740;26448;37363;I;2;8;1;8
45;55452;63542;167;J;3;9;1;9
46;93456;19885;90401;K;3;10;1;10
47;40873;43417;67982;L;3;11;1;11
48;31235;72760;18949;M;4;12;1;12
49;86720;35847;58869;N;4;13;1;13
50;82136;29891;84591;O;4;14;1;14
51;86100;36483;52558;A;5;15;1;15
52;38718;23195;81428;B;5;16;1;16
53;21040;22166;29949;C;6;17;1;17
54;66740;26448;37363;D;3;1;2;1
